token,label
m6147,O
2.5y,O
summary,O
vat,O
net,O
worth,O
vat,O
gross,O
worth,O
10,O
13993,O
1399,O
15392,O
total,O
13993,O
1399,O
15392,O
,
invoice,O
no:,O
40108666,B-INVOICE_NUMBER
date,O
of,O
issue:,O
02/07/2020,B-INVOICE_DATE
seller:,O
client:,O
bailey,O
murray,I-SELLER_NAME
and,I-SELLER_NAME
lewis,I-SELLER_NAME
hester,B-CLIENT_NAME
inc,I-CLIENT_NAME
33771,B-SELLER_ADDRESS
powell,I-SELLER_ADDRESS
pike,I-SELLER_ADDRESS
suite,I-CLIENT_ADDRESS
054,I-SELLER_ADDRESS
4000,B-CLIENT_ADDRESS
tonya,I-CLIENT_ADDRESS
rapid,I-CLIENT_ADDRESS
suite,I-CLIENT_ADDRESS
963,I-CLIENT_ADDRESS
east,I-SELLER_ADDRESS
lisastad,O
ri,I-SELLER_ADDRESS
21938,I-SELLER_ADDRESS
south,I-CLIENT_ADDRESS
marissaport,O
mn,I-CLIENT_ADDRESS
39537,I-CLIENT_ADDRESS
tax,O
id:,O
993-75-3149,O
tax,O
id:,O
998-98-6887,O
iban:,O
gbbomtni52501633185191,O
items,O
no.,O
description,O
qty,O
um,O
net,O
price,O
net,O
worth,O
vat,O
gross,O
worth,O
1.,O
microsoft,O
xbox,O
one,O
1,O
-,O
500,O
gb,O
100,O
each,O
17500,O
17500,O
10,O
19250,O
console,O
black,O
wl,O
controller,O
power,O
supply,O
good,O
2,O
nintendo,O
dsoriginal,O
ntr-001,O
300,O
each,O
099,O
297,O
10,O
327,O
console,O
camouflage,O
tested,O
works,O
3,O
nintendo,O
2ds,O
console,O
blue,O
500,O
each,O
5499,O
27495,O
10,O
30245,O
japan,O
model,O
combine,O
shipping,O
available,O
2,O
summary,O
vat,O
net,O
worth,O
vat,O
gross,O
worth,O
10,O
45292,O
4529,O
49821,O
total,O
45292,O
4529,O
49821,O
,
invoice,O
no:,O
73285932,B-INVOICE_NUMBER
date,O
of,O
issue:,O
07/25/2017,B-INVOICE_DATE
seller:,O
client:,O
merritt,O
williams,I-SELLER_NAME
and,I-CLIENT_NAME
young,I-SELLER_NAME
olson,O
cisneros,I-CLIENT_NAME
and,I-CLIENT_NAME
moore,I-CLIENT_NAME
6801,B-SELLER_ADDRESS
frank,I-SELLER_ADDRESS
run,I-SELLER_ADDRESS
80943,B-CLIENT_ADDRESS
beck,I-CLIENT_ADDRESS
divide,I-CLIENT_ADDRESS
west,I-SELLER_ADDRESS
in,I-SELLER_ADDRESS
06055,I-SELLER_ADDRESS
wadeport,O
ia,I-CLIENT_ADDRESS
90419,I-CLIENT_ADDRESS
tax,O
id:,O
963-86-7453,O
tax,O
id:,O
901-73-0142,O
iban:,O
gbi6huwq31434229260013,O
items,O
no.,O
description,O
qty,O
um,O
net,O
price,O
net,O
worth,O
vat,O
gross,O
worth,O
bcbgeneration,O
black,O
sleeveless,O
200,O
each,O
299,O
598,O
10,O
658,O
lace,O
back,O
cut,O
out,O
dress,O
sz,O
2,O
2,O
zpcs,O
baby,O
clothes,O
cotton,O
500,O
each,O
1099,O
5495,O
10,O
6045,O
hoodied,O
toppants,O
baby,O
boys,O
outfits,O
gentleman,O
3,O
nwt,O
1200,O
j,O
crew,O
silk,O
chiffon,O
100,O
each,O
29500,O
29500,O
10,O
32450,O
ivory,O
wedding,O
dress,O
with,O
beading,O
shein,O
blue,O
and,I-CLIENT_NAME
white,O
striped,O
500,O
each,O
800,O
4000,O
10,O
4400,O
wrap,O
dress,O
5,O
guess,O
dress,O
size,O
6,O
200,O
each,O
2000,O
4000,O
10,O
00,O
clifford,O
wills,O
black,O
500,O
each,O
599,O
2995,O
10,O
3295,O
netimesh,O
over,O
taupe,O
long,O
dress,O
size,O
matilda,O
jane,O
womens,O
light,O
300,O
each,O
5000,O
15000,O
10,O
16500,O
rising,O
high,O
low,O
green,O
floral,O
dress,O
size,O
l,O
pockets,O
summary,O
vat,O
net,O
worth,O
vat,O
gross,O
worth,O
10,O
61588,O
6159,O
67747,O
total,O
61588,O
6159,O
67747,O
mary,O
boys,O
44c,O
,
invoice,O
no:,O
15288019,B-INVOICE_NUMBER
date,O
of,O
issue:,O
09/07/2014,B-INVOICE_DATE
seller:,O
client:,O
fernandez,B-SELLER_NAME
ltd,I-SELLER_NAME
wilson-wilson,B-CLIENT_NAME
06398,B-SELLER_ADDRESS
jensen,I-SELLER_ADDRESS
loaf,I-SELLER_ADDRESS
85455,B-CLIENT_ADDRESS
carter,I-CLIENT_ADDRESS
estate,I-CLIENT_ADDRESS
andrewton,O
ar,I-SELLER_ADDRESS
65741,I-SELLER_ADDRESS
mooremouth,O
ct,I-CLIENT_ADDRESS
29699,I-CLIENT_ADDRESS
tax,O
id:,O
983-71-0649,O
tax,O
id:,O
922-87-0964,O
iban:,O
gb88dshk83384951793426,O
items,O
no.,O
description,O
qty,O
um,O
net,O
price,O
net,O
worth,O
vat,O
gross,O
worth,O
easy,O
no,O
tie,O
rubber,O
shoe,O
laces,O
100,O
each,O
155,O
155,O
10,O
171,O
colored,O
trainers,O
snickers,O
kids,O
adults,O
shoelaces,O
summary,O
vat,O
net,O
worth,O
vat,O
gross,O
worth,O
10,O
155,O
016,O
171,O
total,O
155,O
016,O
171,O
,
invoice,O
no:,O
57290992,B-INVOICE_NUMBER
date,O
of,O
issue:,O
10/03/2011,B-INVOICE_DATE
seller:,O
client:,O
adams,B-SELLER_NAME
plc,I-SELLER_NAME
johnson,O
daniels,I-CLIENT_NAME
and,I-CLIENT_NAME
ramirez,I-CLIENT_NAME
uss,B-SELLER_ADDRESS
moon,I-SELLER_ADDRESS
6889,B-CLIENT_ADDRESS
oliver,I-CLIENT_ADDRESS
summit,I-CLIENT_ADDRESS
fpo,I-SELLER_ADDRESS
aa,I-SELLER_ADDRESS
34591,I-SELLER_ADDRESS
south,I-CLIENT_ADDRESS
ebony,O
ny,I-CLIENT_ADDRESS
23978,I-CLIENT_ADDRESS
tax,O
id:,O
964-98-1799,O
tax,O
id:,O
925-71-0496,O
iban:,O
gb3oolcj81769735097340,O
items,O
no.,O
description,O
qty,O
um,O
net,O
price,O
net,O
worth,O
vat,O
gross,O
worth,O
25x25,O
marble,O
black,O
top,O
500,O
each,O
2,O
78900,O
13,O
94500,O
10,O
15,O
33950,O
custom,O
table,O
carnelian,O
marquetry,O
art,O
halloween,O
gift,O
2,O
7x4,O
blue,O
random,O
marble,O
300,O
each,O
8,O
19409,O
24,O
58227,O
10,O
27,O
04050,O
dining,O
hallway,O
table,O
top,O
lapis,O
lazuli,O
decor,O
e947a,O
3,O
6x3,O
white,O
marble,O
dining,O
table,O
400,O
each,O
6,O
40849,O
25,O
63396,O
10,O
28,O
19736,O
top,O
multi,O
inlay,O
floral,O
elephant,O
art,O
decor,O
h4952,O
summary,O
vat,O
net,O
worth,O
vat,O
gross,O
worth,O
10,O
64,O
16123,O
6,O
41612,O
70,O
57735,O
total,O
64,O
16123,O
6,O
41612,O
70,O
57735,O
inlay,O
,
invoice,O
no:,O
56908352,B-INVOICE_NUMBER
date,O
of,O
issue:,O
01/11/2015,B-INVOICE_DATE
seller:,O
client:,O
lozano,O
wang,I-SELLER_NAME
and,I-CLIENT_NAME
smith,I-SELLER_NAME
evans,O
curtis,I-CLIENT_NAME
and,I-CLIENT_NAME
salinas,I-CLIENT_NAME
8162,B-SELLER_ADDRESS
dunn,I-SELLER_ADDRESS
radial,I-SELLER_ADDRESS
13078,B-CLIENT_ADDRESS
mora,I-CLIENT_ADDRESS
garden,I-CLIENT_ADDRESS
lauraland,O
id,I-SELLER_ADDRESS
83827,I-SELLER_ADDRESS
morseberg,O
wv,I-CLIENT_ADDRESS
48959,I-CLIENT_ADDRESS
tax,O
id:,O
914-76-8473,O
tax,O
id:,O
904-76-9217,O
iban:,O
gb68rrbm34982962207975,O
items,O
no.,O
description,O
qty,O
um,O
net,O
price,O
net,O
worth,O
vat,O
gross,O
worth,O
rage,O
by,O
bob,O
woodward,O
500,O
each,O
2293,O
11465,O
10,O
12612,O
donald,O
trump,O
new,O
hardcover,O
sept,O
2020,O
2,O
spectacular,O
ireland,O
coffee,O
400,O
each,O
1000,O
4000,O
10,O
4400,O
table,O
book,O
very,O
large,O
3,O
the,O
complete,O
lifes,O
little,O
400,O
each,O
409,O
1636,O
10,O
1800,O
instruction,O
book,O
by,O
brown,O
h_,O
jackson,O
jr.,O
summary,O
vat,O
net,O
worth,O
vat,O
gross,O
worth,O
10,O
17101,O
1710,O
18811,O
total,O
17101,O
1710,O
18811,O
,
invoice,O
no:,O
20012449,B-INVOICE_NUMBER
date,O
of,O
issue:,O
04/22/2013,B-INVOICE_DATE
seller:,O
client:,O
jackson,B-SELLER_NAME
ltd,I-SELLER_NAME
combs,B-CLIENT_NAME
inc,I-CLIENT_NAME
58538,B-SELLER_ADDRESS
brandon,I-SELLER_ADDRESS
union,I-SELLER_ADDRESS
apt.,I-CLIENT_ADDRESS
536,I-SELLER_ADDRESS
433,B-CLIENT_ADDRESS
ferguson,I-CLIENT_ADDRESS
land,I-CLIENT_ADDRESS
apt:,O
377,I-CLIENT_ADDRESS
taylorshire,O
pa,I-SELLER_ADDRESS
90588,I-SELLER_ADDRESS
kirkstad,O
mn,I-CLIENT_ADDRESS
16124,I-CLIENT_ADDRESS
tax,O
id:,O
989-83-1608,O
tax,O
id:,O
940-79-9180,O
iban:,O
gbizkvly05129120946380,O
items,O
no.,O
description,O
qty,O
um,O
net,O
price,O
net,O
worth,O
vat,O
gross,O
worth,O
press,O
wine,O
20l,O
fruit,O
cider,O
100,O
each,O
29900,O
29900,O
10,O
32890,O
apple,O
crusher,O
juice,O
grape,O
stainless,O
maker,O
grapes,O
new,O
2,O
marijuana,O
leaf,O
wine,O
stopper,O
400,O
each,O
720,O
2880,O
10,O
3168,O
summary,O
vat,O
net,O
worth,O
vat,O
gross,O
worth,O
10,O
32780,O
3278,O
36058,O
total,O
32780,O
3278,O
36058,O
,
invoice,O
no:,O
87734908,B-INVOICE_NUMBER
date,O
of,O
issue:,O
12/19/2019,B-INVOICE_DATE
seller:,O
client:,O
chase,I-CLIENT_NAME
green,I-SELLER_NAME
and,I-CLIENT_NAME
bailey,I-SELLER_NAME
buckley,O
wright,I-CLIENT_NAME
and,I-CLIENT_NAME
chase,I-CLIENT_NAME
unit,B-SELLER_ADDRESS
1572,I-SELLER_ADDRESS
box,I-SELLER_ADDRESS
9604,I-SELLER_ADDRESS
3524,B-CLIENT_ADDRESS
chandler,I-CLIENT_ADDRESS
shoal,I-CLIENT_ADDRESS
dpo,I-SELLER_ADDRESS
ap,I-SELLER_ADDRESS
69096,I-SELLER_ADDRESS
nicholasfurt,O
va,I-CLIENT_ADDRESS
09561,I-CLIENT_ADDRESS
tax,O
id:,O
934-71-9062,O
tax,O
id:,O
982-90-4927,O
iban:,O
gb68ucad28621555301869,O
items,O
no.,O
description,O
qty,O
um,O
net,O
price,O
net,O
worth,O
vat,O
gross,O
worth,O
the,O
invisible,O
life,O
of,O
addie,O
larue,O
200,O
each,O
299,O
598,O
10,O
658,O
ebook,O
new,O
original,O
high,O
quality,O
updated,O
2020,O
summary,O
vat,O
net,O
worth,O
vat,O
gross,O
worth,O
10,O
598,O
060,O
658,O
total,O
598,O
060,O
658,O
,
invoice,O
no:,O
92059706,B-INVOICE_NUMBER
date,O
of,O
issue:,O
04/28/2017,B-INVOICE_DATE
seller:,O
client:,O
archer,O
davis,I-SELLER_NAME
and,I-CLIENT_NAME
hudson,I-SELLER_NAME
barton,O
decker,I-CLIENT_NAME
and,I-CLIENT_NAME
ferguson,I-CLIENT_NAME
089,B-SELLER_ADDRESS
heath,I-SELLER_ADDRESS
point,I-SELLER_ADDRESS
suite,I-SELLER_ADDRESS
115,I-SELLER_ADDRESS
731,B-CLIENT_ADDRESS
clark,I-CLIENT_ADDRESS
fords,I-CLIENT_ADDRESS
new,I-SELLER_ADDRESS
david,O
il,I-SELLER_ADDRESS
52837,I-SELLER_ADDRESS
johnbury,O
hi,I-CLIENT_ADDRESS
95582,I-CLIENT_ADDRESS
tax,O
id:,O
963-96-1538,O
tax,O
id:,O
946-82-6210,O
iban:,O
gbiorhgr66287471350836,O
items,O
no.,O
description,O
qty,O
um,O
net,O
price,O
net,O
worth,O
vat,O
gross,O
worth,O
working,O
super,O
nintendo,O
snes,O
400,O
each,O
8500,O
34000,O
10,O
37400,O
original,O
system,O
console,O
wl,O
mario,O
world,O
2,O
sony,O
playstation,O
5,O
console,O
300,O
each,O
84999,O
2,O
54997,O
10,O
2,O
80497,O
pss-,O
presale-,O
disc,O
version,O
order,O
confirmed,O
3,O
nintendo,O
wii,O
console,O
mario,O
kart,O
300,O
each,O
19997,O
59991,O
10,O
65990,O
controller,O
wii,O
fit,O
2,O
board,O
remotes,O
game,O
bundle,O
summary,O
vat,O
net,O
worth,O
vat,O
gross,O
worth,O
10,O
3,O
48988,O
34899,O
3,O
83887,O
total,O
3,O
48988,O
34899,O
3,O
83887,O
pre,O
,
invoice,O
no:,O
72591450,B-INVOICE_NUMBER
date,O
of,O
issue:,O
05/13/2012,B-INVOICE_DATE
seller:,O
client:,O
bishop,O
kelley,I-SELLER_NAME
and,I-CLIENT_NAME
wright,I-SELLER_NAME
allen,O
murray,I-CLIENT_NAME
and,I-CLIENT_NAME
carroll,I-CLIENT_NAME
058,B-SELLER_ADDRESS
sullivan,I-SELLER_ADDRESS
village,I-SELLER_ADDRESS
87328,B-CLIENT_ADDRESS
arnold,I-CLIENT_ADDRESS
crossroad,I-CLIENT_ADDRESS
suite,I-CLIENT_ADDRESS
206,I-CLIENT_ADDRESS
north,I-SELLER_ADDRESS
isabella,O
nd,I-SELLER_ADDRESS
69747,I-SELLER_ADDRESS
south,I-CLIENT_ADDRESS
ms,I-CLIENT_ADDRESS
29781,I-CLIENT_ADDRESS
tax,O
id:,O
956-72-8059,O
tax,O
id:,O
902-99-1117,O
iban:,O
gb63muda41776263491543,O
items,O
no.,O
description,O
qty,O
um,O
net,O
price,O
net,O
worth,O
vat,O
gross,O
worth,O
dell,O
optiplex,O
desktop,O
computer,O
500,O
each,O
14995,O
74975,O
10,O
82473,O
with,O
dual,O
19,O
lcd,O
monitors,O
windows,O
10,O
pro,O
2,O
fast,O
dell,O
optiplex,O
windows,O
10,O
300,O
each,O
11995,O
35985,O
10,O
39584,O
pro,O
desktop,O
computer,O
dual,O
core,O
6gb,O
160gb,O
dvd,O
wifi,O
3,O
hp,O
prodesk,O
400,O
gs,O
mini,O
500,O
each,O
20050,O
1,O
00250,O
10,O
1,O
10275,O
desktop,O
computer,O
i5-9500t,O
8gb,O
256gb,O
ssd,O
wiop,O
custom,O
gaming,O
computer,O
200,O
each,O
45000,O
90000,O
10,O
99000,O
5,O
fast,O
dell,O
optiplex,O
windows,O
10,O
300,O
each,O
12495,O
37485,O
10,O
41234,O
desktop,O
computer,O
tower,O
czd,O
4gb,O
dvd,O
wifi,O
17,O
lcd,O
amd,O
dual,O
core,O
3.9ghz,O
4gb,O
300,O
each,O
24999,O
74997,O
10,O
82497,O
ddr3,O
500gb,O
wifi,O
windows,O
10,O
office,O
desktop,O
pc,O
computer,O
custom,O
build,O
dell,O
optiplex,O
9020,O
300,O
each,O
22199,O
66597,O
10,O
73257,O
mt,O
i5-4570,O
3.20ghz,O
desktop,O
computer,O
pc,O
summary,O
vat,O
net,O
worth,O
vat,O
gross,O
worth,O
10,O
4,O
80289,O
48029,O
5,O
28318,O
total,O
4,O
80289,O
48029,O
5,O
28318,O
amy,O
,
invoice,O
no:,O
35593328,B-INVOICE_NUMBER
date,O
of,O
issue:,O
06/08/2011,B-INVOICE_DATE
seller:,O
client:,O
cruz-carter,B-SELLER_NAME
alexander-arias,B-CLIENT_NAME
11251,B-SELLER_ADDRESS
braun,I-SELLER_ADDRESS
square,I-SELLER_ADDRESS
63947,B-CLIENT_ADDRESS
erin,I-CLIENT_ADDRESS
parkway,I-CLIENT_ADDRESS
apt:,O
073,I-CLIENT_ADDRESS
north,I-SELLER_ADDRESS
alejandro,O
ut,I-SELLER_ADDRESS
73496,I-SELLER_ADDRESS
guzmanshire,O
ny,I-CLIENT_ADDRESS
08857,I-CLIENT_ADDRESS
tax,O
id:,O
938-91-6436,O
tax,O
id:,O
942-92-5992,O
iban:,O
gb4zrifk65000994976015,O
items,O
no.,O
description,O
qty,O
um,O
net,O
price,O
net,O
worth,O
vat,O
gross,O
worth,O
hp,O
all,O
in,O
one,O
desktop,O
computer,O
400,O
each,O
20500,O
82000,O
10,O
90200,O
touch,O
screen,O
2,O
ws,O
pro,O
mini,O
pocket,O
pc,O
windows,O
300,O
each,O
11900,O
35700,O
10,O
39270,O
10,O
computer,O
stick,O
intel,O
z8350,O
quad,O
core,O
3,O
gaming,O
pc,O
desktop,O
computer,O
100,O
each,O
99950,O
99950,O
10,O
1,O
09945,O
hdmi,O
rgb,O
intel,O
i7,O
rtx,O
2060,O
hddssd,O
windows,O
10,O
wifi,O
lenovo,O
c2o-oo..all,O
in,O
one,O
200,O
each,O
27764,O
55528,O
10,O
61081,O
desktop,O
computer,O
with,O
wireless,O
mouse_,O
summary,O
vat,O
net,O
worth,O
vat,O
gross,O
worth,O
10,O
2,O
73178,O
27318,O
3,O
00496,O
total,O
2,O
73178,O
27318,O
3,O
00496,O
,
invoice,O
no:,O
32135544,B-INVOICE_NUMBER
date,O
of,O
issue:,O
08/16/2014,B-INVOICE_DATE
seller:,O
client:,O
reed,B-SELLER_NAME
and,I-SELLER_NAME
sons,I-SELLER_NAME
lucas-barnett,B-CLIENT_NAME
unit,B-SELLER_ADDRESS
5010,I-SELLER_ADDRESS
box,I-SELLER_ADDRESS
0461,I-SELLER_ADDRESS
usns,B-CLIENT_ADDRESS
scott,I-CLIENT_ADDRESS
dpo,I-SELLER_ADDRESS
aa,I-CLIENT_ADDRESS
27717,I-SELLER_ADDRESS
fpo,I-CLIENT_ADDRESS
aa,I-CLIENT_ADDRESS
73490,I-CLIENT_ADDRESS
tax,O
id:,O
912-95-0493,O
tax,O
id:,O
997-85-1616,O
iban:,O
gb2ivguq93040788957754,O
items,O
no.,O
description,O
qty,O
um,O
net,O
price,O
net,O
worth,O
vat,O
gross,O
worth,O
wine,O
bottle,O
storage,O
6,O
slots,O
400,O
each,O
3059,O
12236,O
10,O
13460,O
modern,O
countertop,O
metal,O
rack,O
kitchen,O
bar,O
organizer,O
2,O
anthropologie,O
gold,O
elegant,O
400,O
each,O
1998,O
7992,O
10,O
8791,O
swan,O
decorative,O
metal,O
bottle,O
stopper,O
wine,O
saver,O
3,O
mdesign,O
metal,O
wine,O
rack,O
400,O
each,O
4499,O
17996,O
10,O
19796,O
storage,O
organizer,O
12,O
bottles,O
dark,O
gray,O
tiffany,O
and,I-SELLER_NAME
co,O
pair,O
2,O
stemless,O
200,O
each,O
7499,O
14998,O
10,O
16498,O
wine,O
champagne,O
glasses,O
original,O
stickers,O
no,O
box,I-SELLER_ADDRESS
5,O
outdoor,O
wine,O
glass,O
beer,O
holder,O
300,O
each,O
1144,O
3432,O
10,O
3775,O
to,O
armrest,O
with,O
attachments,O
red,O
wine,O
base,O
_yoxq,O
hardwood,O
wine,O
rack,O
12,O
bottles,O
300,O
each,O
2000,O
6000,O
10,O
6600,O
very,O
nice,O
eonophiles,O
delight,O
summary,O
vat,O
net,O
worth,O
vat,O
gross,O
worth,O
10,O
62654,O
6265,O
68919,O
total,O
62654,O
6265,O
68919,O
,
invoice,O
no:,O
67117171,B-INVOICE_NUMBER
date,O
of,O
issue:,O
01/27/2021,B-INVOICE_DATE
seller:,O
client:,O
gilmore,O
brady,I-SELLER_NAME
and,I-SELLER_NAME
carter,I-SELLER_NAME
phillips-moreno,B-CLIENT_NAME
56436,B-SELLER_ADDRESS
dam,I-SELLER_ADDRESS
suite,I-CLIENT_ADDRESS
437,I-SELLER_ADDRESS
1293,B-CLIENT_ADDRESS
lawrence,I-CLIENT_ADDRESS
estates,I-CLIENT_ADDRESS
suite,I-CLIENT_ADDRESS
940,I-CLIENT_ADDRESS
lake,I-SELLER_ADDRESS
rebecca,O
la,I-SELLER_ADDRESS
78907,I-SELLER_ADDRESS
besthaven,O
nv,I-CLIENT_ADDRESS
23717,I-CLIENT_ADDRESS
tax,O
id:,O
905-96-1343,O
tax,O
id:,O
953-91-5577,O
iban:,O
gb86oulb80821848504333,O
items,O
no.,O
description,O
qty,O
um,O
net,O
price,O
net,O
worth,O
vat,O
gross,O
worth,O
the,O
complete,O
idiots,O
guide,O
to,O
400,O
each,O
449,O
1796,O
10,O
1976,O
trouble-free,O
home,O
re,O
2,O
aesops,O
fables,O
aesop,O
illustrated,O
400,O
each,O
3465,O
13860,O
10,O
15246,O
by,O
a.,O
rackham,O
sealed,O
leather,O
bound,O
collectible,O
summary,O
vat,O
net,O
worth,O
vat,O
gross,O
worth,O
10,O
15656,O
1566,O
17222,O
total,O
15656,O
1566,O
17222,O
amy,I-SELLER_ADDRESS
,
invoice,O
no:,O
86164702,B-INVOICE_NUMBER
date,O
of,O
issue:,O
05/15/2020,B-INVOICE_DATE
seller:,O
client:,O
peterson,O
hester,I-SELLER_NAME
and,I-CLIENT_NAME
mckee,I-SELLER_NAME
hernandez,O
wright,I-CLIENT_NAME
and,I-CLIENT_NAME
pena,I-CLIENT_NAME
unit,B-SELLER_ADDRESS
6986,I-SELLER_ADDRESS
box,I-SELLER_ADDRESS
0053,I-SELLER_ADDRESS
01185,B-CLIENT_ADDRESS
sherry,I-CLIENT_ADDRESS
manor,I-CLIENT_ADDRESS
dpo,I-SELLER_ADDRESS
ae,I-SELLER_ADDRESS
88791,I-SELLER_ADDRESS
robertburgh,O
il,I-CLIENT_ADDRESS
76443,I-CLIENT_ADDRESS
tax,O
id:,O
910-72-7762,O
tax,O
id:,O
914-91-3852,O
iban:,O
gb49jbkj55747171436200,O
items,O
no.,O
description,O
qty,O
um,O
net,O
price,O
net,O
worth,O
vat,O
gross,O
worth,O
dell,O
optiplex,O
all,O
in,O
one,O
500,O
each,O
12999,O
64995,O
10,O
71495,O
windows,O
10,O
desktop,O
computer,O
780,O
3.oghz,O
4gb,O
250gb,O
19,O
lcd,O
summary,O
vat,O
net,O
worth,O
vat,O
gross,O
worth,O
10,O
64995,O
6500,O
71495,O
total,O
64995,O
6500,O
71495,O
,
invoice,O
no:,O
46920651,B-INVOICE_NUMBER
date,O
of,O
issue:,O
11/15/2015,B-INVOICE_DATE
seller:,O
client:,O
powell,B-SELLER_NAME
ltd,I-SELLER_NAME
clark,O
brown,I-CLIENT_NAME
and,I-CLIENT_NAME
jones,I-CLIENT_NAME
008,B-SELLER_ADDRESS
gallagher,I-SELLER_ADDRESS
unions,I-SELLER_ADDRESS
252,B-CLIENT_ADDRESS
courtney,I-CLIENT_ADDRESS
motorway,I-CLIENT_ADDRESS
south,I-SELLER_ADDRESS
brettton,O
fl,I-SELLER_ADDRESS
39360,I-SELLER_ADDRESS
north,I-CLIENT_ADDRESS
laurie,O
dc,I-CLIENT_ADDRESS
43805,I-CLIENT_ADDRESS
tax,O
id:,O
903-73-3000,O
tax,O
id:,O
947-82-8284,O
iban:,O
gbziaytx61593300702772,O
items,O
no.,O
description,O
qty,O
um,O
net,O
price,O
net,O
worth,O
vat,O
gross,O
worth,O
new,O
6,O
pcs,O
rabbit,O
wine,O
opener,O
400,O
each,O
1995,O
7980,O
10,O
8778,O
set,O
with,O
accessories,O
tools,O
gift,O
box,O
a16,O
2,O
alcoholmeter,O
alcohol,O
meter,O
300,O
each,O
1408,O
4224,O
10,O
4646,O
wine,O
0-100thermometer,O
set,O
bar,O
tools,O
vintage,O
tester,O
3,O
vintage,O
metal,O
art,O
sculpture,O
400,O
each,O
2598,O
10392,O
10,O
11431,O
carving,O
chef,O
wine,O
bottle,O
holder,O
and,I-CLIENT_NAME
display,O
tin,O
chef,O
grand,O
reserve,O
wine,O
bottle,O
200,O
each,O
3999,O
7998,O
10,O
8798,O
opener,O
bar,O
stand,O
table,O
top,O
cork,O
puller,O
5,O
wine,O
opener,O
accessories,O
gift,O
100,O
each,O
1171,O
1171,O
10,O
1288,O
tools,O
set,O
with,O
waiters,O
corkscrew,O
opener,O
5,O
piece,O
6,O
2,O
stacking,O
metal,O
8,O
wine,O
bottle,O
100,O
each,O
1699,O
1699,O
10,O
1869,O
holder,O
storage,O
rack,O
8,O
bottles,O
