invoice_details,line_items,summary
"Invoice Number: 15001300, Date: 02/18/2014, Seller: , Client: kerr ryan and gomez mason ltd 8069 nicholas greens 8053 friedman burg lake vincentbury ri 06574 patrickfort fl 71567",N/A,net worth vat gross worth 100pcs wall stickers home 100 each 170 170 10 187 decor glow in the dark star sticker decal kids room 2 puma boys kids athletic shoes 300 each 1900 5700 10 6270 flats plimsouls gray black denim size 12c 3 joma youth boys gol 205 piso 500 each 1999 9995 10 10994 multitaco soccer cleats 2.5 white blue yellow new fila boys skele-toes rnr 3 300 each 1025 3075 10 3383 black running shoes 11 medium d little kid 9953 5 kid connection kids winter 500 each 2159 10795 10 11875 waterproof boots size 5 cozy warm slipn on booties summary vat net worth vat gross worth 10 29735 2973 32708 total 29735 2973 32708 bay
"Invoice Number: 25210895, Date: 05/14/2019, Seller: , Client: lyons inc watson-blanchard 64411 taylor cape psc 0164 box 7355 carrollview ri 87544 apo aa 37205",N/A,net worth vat gross worth lularoe nicole dress size large 300 each 199 597 10 657 25 2 escada long black dress sz 40 100 each 7499 7499 10 8249 100 silk lining summary vat net worth vat gross worth 10 8096 810 8906 total 8096 810 8906
"Invoice Number: 76619276, Date: 11/16/2011, Seller: , Client: bailey adams and pacheco morgan ltd 8114 blake course 8866 brown centers suite 945 shieldsshire ks 95278 new stephaniemouth in 94165",N/A,net worth vat gross worth 1. vintage metal art sculpture 500 each 2598 12990 10 14289 carving chef wine bottle holder and display tin chef 2 gold band wine glasses clear 400 each 199 796 10 876 glass round stems 2 12 ounce elegant stems 3 galvanized metal wine caddy 500 each 3495 17475 10 19223 summary vat net worth vat gross worth 10 31261 3126 34387 total 31261 3126 34387
"Invoice Number: 49565075, Date: 10/28/2019, Seller: , Client: kane-morgan garcia inc 968 carr mission apt: 320 445 haas viaduct suite 454 bernardville va 28211 michaelhaven la 32852",N/A,net worth vat gross worth 1. anthropologie gold elegant 300 each 1998 5994 10 6593 swan decorative metal bottle stopper wine saver 2 lolita happy retirement wine 100 each 800 800 10 880 glass 15 ounce gls11-5534h 3 lolita congratulations hand 100 each 2000 2000 10 2200 painted and decorated wine glass nib summary vat net worth vat gross worth 10 8794 879 9673 total 8794 879 9673
"Invoice Number: 36475327, Date: 08/23/2020, Seller: , Client: faulkner group mendoza-scott 956 dennis cliffs apt: 138 581 christian canyon west haley de 93178 paulburgh nv 98729",N/A,net worth vat gross worth 1. dell optiplex xe2 sff desktop 300 each 9900 29700 10 32670 computer w1o pro licensed 2 custom build dell desktop 100 each 9900 9900 10 10890 computer i5 16gb 1tb ssd hdmi windows 10 pc wifi 3 custom gaming computer 400 each 45000 1 80000 10 1 98000 dell optiplex windows 10 pro 300 each 14995 44985 10 49483 desktop computer pc i5 4th gen 3.2ghz 8 gb 2 tb hdd 5 hp desktop computers core i5 500 each 13995 69975 10 76973 16gb 2tb 256gb ssd wifi 22 lcd windows 10 pro pc 6 2 gaming computers 100 each 1 30000 1 30000 10 1 43000 hp aii-in-one computer 22- 100 each 44999 44999 10 49499 full-hd display intel 2.90ghz 4gb 1tb hd winlo teal summary vat net worth vat gross worth 10 5 09559 50956 5 60515 total 5 09559 50956 5 60515
"Invoice Number: 65123866, Date: 11/20/2012, Seller: , Client: potts pittman and beck garcia-perkins usnv stone 897 gonzalez junction apt: 934 fpo ae 65337 jesseburgh mn 12053",N/A,net worth vat gross worth the four agreements: a 100 each 330 330 10 363 practical guide to personal freedom by don miguel ruiz 2 the world of van gogh from 400 each 1497 5988 10 6587 time life library of art 3 principles of virology 2 volume 500 each 12190 60950 10 67045 set asm books boy who grew up eating 300 each 1950 5850 10 6435 nightmare its okay to not be okay picturebook 5 the value of time 500 each 1773 8865 10 9752 the home stretch 200 each 538 1076 10 1184 summary vat net worth vat gross worth 10 83059 8306 91365 total 83059 8306 91365
"Invoice Number: 61819195, Date: 08/28/2019, Seller: , Client: mason-beltran morrison stewart and graham 5622 erik knolls 51370 thompson oval suite 431 new kristafurt mt 51436 beckerburgh me 77062",N/A,net worth vat gross worth my way home: voices of 200 each 561 1122 10 1234 the new american roots 2 goodnight from london: a 500 each 449 2245 10 2470 novel 3 the world of art time life 500 each 5000 25000 10 27500 bookscompleteset of 24 american modern art summary vat net worth vat gross worth 10 28367 2837 31204 total 28367 2837 31204 sing
"Invoice Number: 20295549, Date: 11/20/2011, Seller: , Client: williams-morris ward-jordan 232 kelly route 8182 hancock street apt: 613 adamsborough tx 58099 west david ma 55043",N/A,net worth vat gross worth 1. dell optiplex sff desktop 400 each 8999 35996 10 39596 computer windows 10 4gb 160gb 2 lenovo c2o-oo_all in one 500 each 27764 1 38820 10 1 52702 desktop computer with wireless mouse 3 fast dell optiplex desktop pc 200 each 21700 43400 10 47740 computer dual core 3.4ghz 8gb 1tb win 10 pro wifi fast dell optiplex windows 10 100 each 8995 8995 10 9895 desktop computer tower pc core i3 3.1ghz 4gb 320gb 5 ws pro mini pocket pc windows 300 each 11900 35700 10 39270 10 computer stick intel 28350 quad core fast i7 rgb gaming desktop pc 500 each 79000 3 95000 10 4 34500 computer vr-ready wifi aaa fortnite gtav pubg 1g3 summary vat net worth vat gross worth 10 6 57911 65791 7 23702 total 6 57911 65791 7 23702
"Invoice Number: 63131640, Date: 06/21/2015, Seller: , Client: white plc richards williams and houston 63583 marshall flats 0388 hutchinson corner apt: 019 leestad ct 23486 deborahside sc 93156",N/A,net worth vat gross worth 3 gal 12l moonshine still 500 each 9992 49960 10 54956 stainless steel water wine alcohol distiller equipment 2 black butterfly winged 500 each 895 4475 10 4923 corkscrew wine bottle opener swing-a-way 3 vintage set of 3 cobalt blue 500 each 2400 12000 10 13200 glass wine glasses water goblets barware stemware new never used crofton 300 each 300 900 10 990 chefs collection wine cooling stick in package summary vat net worth vat gross worth 10 67335 6734 74069 total 67335 6734 74069
"Invoice Number: 78605417, Date: 08/07/2017, Seller: , Client: campos llc wilson-hernandez 15809 christina cove apt: 190 5998 stephen squares danielmouth or 11509 maryville oh 19487",N/A,net worth vat gross worth nike pre school kids size 12c 300 each 5999 17997 10 19797 jordan jumpman team il ps aq2797-300 2 nike air force 1 low 300 each 5495 16485 10 18134 314192-117 triple white youth boys size 5y 3 adult girl version hermione 200 each 6416 12832 10 14115 granger cosplay costume gryffindor kid size in stock adidas baseball youth cleats 300 each 1199 3597 10 3957 spikes kids shoes black white size 12k 5 harry potter hogwarts adult 500 each 1748 8740 10 9614 child robe cloak halloween cos costumes party xmas. 6 sperry infant size 6 boat shoes 500 each 099 495 10 545 dc kids pixie 3 sneaker 100 each 5500 5500 10 6050 toddler/little kid/big kid color whiteibattleship summary vat net worth vat gross worth 10 65646 6565 72211 total 65646 6565 72211
"Invoice Number: 33102457, Date: 09/18/2018, Seller: , Client: harris llc pierce bush and jones 19049 norma centers apt: 108 unit 0758 box 0909 fieldsmouth az 08845 dpo aa 34990",N/A,net worth vat gross worth blue shiny stone floral art 400 each 3 96000 15 84000 10 17 42400 dinning table top marble kitchen table top 48 inches 2 12 marble side coffee table 300 each 25977 77931 10 85724 top multi stone floral inlay occasional decor w260 summary vat net worth vat gross worth 10 16 61931 1 66193 18 28124 total 16 61931 1 66193 18 28124
"Invoice Number: 57696752, Date: 10/03/2017, Seller: , Client: lopez-smith rodriguez grant and green 1019 jamie coves suite 536 36999 cynthia walk suite 460 garciaberg ak 23239 greenchester nc 24265",N/A,net worth vat gross worth nautica kids boys navy red 400 each 50000 2 00000 10 2 20000 with white rubber sole running sneakers shoes us 10 2 nike kids kd trey 5 nike black 100 each 2200 2200 10 2420 size 4.5ay 3 timberland brown slip on shoes 500 each 200 1000 10 1100 size 4.5 juniors summary vat net worth vat gross worth 10 2 03200 20320 2 23520 total 2 03200 20320 2 23520
"Invoice Number: 66389180, Date: 07/30/2016, Seller: , Client: mercer-donovan murphy llc 457 shawn roads 824 brown village suite 249 shawfurt ok 52770 johnsonland nh 47691",N/A,net worth vat gross worth hot toys cosb748 mandalorian 200 each 3289 6578 10 7236 the child cosbaby mini figure model collection 2 jordan bloyal boys grade 100 each 900 900 10 990 school sneakers us 3y 3 nike ty black 100 each 1500 1500 10 1650 joma youth boys gol 205 piso 400 each 1999 7996 10 8796 multitaco soccer cleats 3.5 white blue yellow new 5 star wars 100 925 sterling 300 each 1988 5964 10 6560 silver bb8 darth vader charm r2-d2 fiit pandora gift toddler kids monster jam shoes 400 each 900 3600 10 3960 size llc grave digger summary vat net worth vat gross worth 10 26538 2654 29192 total 26538 2654 29192
"Invoice Number: 93219493, Date: 05/16/2019, Seller: , Client: james plc bryant-taylor 452 michelle branch 075 gary union suite 231 aaronberg ut 13177 new lindsayberg wy 10457",N/A,net worth vat gross worth 1. microsoft xbox 360 console 49 300 each 2500 7500 10 8250 game bundle 250gb black 2 n64 nintendo system console 400 each 9599 38396 10 42236 lot bundle wi 2 games controller tested working 3 nintendo switch lite turquoise 200 each 13000 26000 10 28600 blue console only no charger b4-1 sega dreamcast white console 400 each 9300 37200 10 40920 japan import hkt-3000 5 b451 nintendo dsi console pink 500 each 999 4995 10 5495 japan nds x summary vat net worth vat gross worth 10 1 14091 11409 1 25500 total 1 14091 11409 1 25500
"Invoice Number: 13367493, Date: 02/21/2012, Seller: , Client: terry crawford and vega martin-schmidt 2744 olson extension suite 147 726 mills island apt: 702 lake edward va 62672 randyville ma 40113",N/A,net worth vat gross worth escada long black dress sz 40 400 each 7499 29996 10 32996 100 silk lining 2 boden size 8 us green 200 each 3500 00 10 7700 dark blue belted midi wool knit sweater fall dress 3 j crew mercantile knitted tweed 100 each 2600 2600 10 2860 dress size 4 black and white new nwt open back 500 each 299 1495 10 1645 xhileration plum lacy dress womens size medium 10/12 5 bcbgeneration black sleeveless 100 each 299 299 10 329 lace back cut out dress sz 2 papaya floral dress medium 400 each 900 3600 10 3960 blue white summary vat net worth vat gross worth 10 44990 4499 49489 total 44990 4499 49489 70c navy
"Invoice Number: 20591219, Date: 01/12/2019, Seller: , Client: schneider aguirre and dennis black-jackson 0670 mccann knoll suite 220 3674 graham cliff suite 842 phylliston nc 68045 east brandonport hl 46902",N/A,net worth vat gross worth the fall of berlin 1945 by 500 each 449 2245 10 2470 antony beevor 2 ccna 200-301 50 gb aug 2020 300 each 199 597 10 657 cisco video/official books/exam dumps/licences 3 art history portables book 6 by 200 each 2600 5200 10 5720 michael w. cothren and marilyn stokstad sth edtn admission assessment exam 500 each 250 1250 10 1375 review 4th edition by hesi p.df 5 game of thrones: the poster 400 each 2087 8348 10 9183 collection paperback or softback c s forester hornblower saga 300 each 16995 50985 10 56083 11 books series collection set brand new rebecca to the rescue 300 each 489 1467 10 1614 american girl quality summary vat net worth vat gross worth 10 70092 7009 77101 total 70092 7009 77101
"Invoice Number: 47037480, Date: 09/03/2012, Seller: , Client: fernandez-evans ruiz-cowan 374 mora parks 8737 guzman flat suite 825 lake debrachester tx 96528 east john me 21474",N/A,net worth vat gross worth 1. balmain dress 36 500 each 1 55000 7 75000 10 8 52500 2 jones wear dress women white 300 each 2000 6000 10 6600 pink floral sleeveless formal tea dress size 12 3 women black dress mori girl 200 each 1399 2798 10 3078 puff sleeve korean casual loose peter pan collar summary vat net worth vat gross worth 10 7 83798 78380 8 62178 total 7 83798 78380 8 62178
"Invoice Number: 77169807, Date: 05/13/2018, Seller: , Client: flores david and fleming williams group unit 4806 box 9700 357 thomas street apt: 860 dpo aa 87029 west douglas sc 32151",N/A,net worth vat gross worth the childrens place brown 500 each 800 4000 10 4400 dress boy lace up shoes size 12 summary vat net worth vat gross worth 10 4000 400 4400 total 4000 400 4400
"Invoice Number: 12408005, Date: 08/08/2019, Seller: , Client: gonzales-hart shepard garcia and summers 4245 owens roads apt: 890 83872 neal villages apt. 420 riverahaven ak 40128 moodyport de 12787",N/A,net worth vat gross worth 1. matilda jane womans lets go 500 each 1960 9800 10 10780 together black knit dress size m medium nwt 2 liza byrd dress sz l- coral 400 each 1799 7196 10 7916 green medallion print short sleeve 100 cotton line summary vat net worth vat gross worth 10 16996 1700 18696 total 16996 1700 18696
"Invoice Number: 34855339, Date: 03/09/2020, Seller: , Client: alexander-valenzuela reyes-sampson psc 7782 box 4983 psc 1836 box 4614 apo ap 12492 apo aa 85127",N/A,net worth vat gross worth shaping the world: sculpture 200 each 4328 8656 10 9522 from prehistory to now by antony gormley english summary vat net worth vat gross worth 10 8656 866 9522 total 8656 866 9522
"Invoice Number: 60518602, Date: 08/30/2016, Seller: , Client: ross group leblanc and sons 9177 torres streets 65388 stephen center apt: 014 charleston ri 34271 hallport ct 28544",N/A,net worth vat gross worth sony playstation 1 psl console 100 each 1499 1499 10 1649 model scph-7501 2 sony scph-3ooolr playstation 400 each 7999 31996 10 35196 2 fat console system wl network adapter 3 nintendo wii u 32gb black 500 each 40000 2 00000 10 2 20000 console deluxe set with 21 games summary vat net worth vat gross worth 10 2 33495 23350 2 56845 total 2 33495 23350 2 56845
"Invoice Number: 86575728, Date: 11/24/2014, Seller: , Client: johnson-young garcia meyer and cook 595 juan port suite 703 6970 taylor mount north ronald wv 37343 martinton sd 55429",N/A,net worth vat gross worth 1. kids jordan 7 retro sz 2y 500 each 7200 36000 10 39600 2 joma boys youth gol-102 500 each 1999 9995 10 10994 soccer cleats shoes size 5.5 white red futbol new 3 inc international concepts 200 each 7348 14696 10 16166 children shoes nvyzc7_ black size little kid 2.5 boys slip-on black dress shoes 500 each 1999 9995 10 10994 loafers 3.5 w wide width 5 star wars 100 925 sterling 100 each 1988 1988 10 2187 silver bb8 darth vader charm r2-d2 fiit pandora gift under armour kids grade 400 each 4499 17996 10 19796 school curry 3zer0 2 basketball shoes summary vat net worth vat gross worth 10 90670 9067 99737 total 90670 9067 99737
"Invoice Number: 42498094, Date: 03/21/2017, Seller: , Client: hall llc brown-vazquez 27618 johnson shores suite 030 uscgc monroe richport ar 85238 fpo aa 63303",N/A,net worth vat gross worth 1. saucony boys ride iso 300 each 2799 8397 10 9237 sneaker white/bluenvizi red 7 m us little kid 2 fila shoes sneakers kids size 11 100 each 1500 1500 10 1650 red black gray 3 nike ty black 200 each 1500 3000 10 3300 summary vat net worth vat gross worth 10 12897 1290 14187 total 12897 1290 14187
"Invoice Number: 84423800, Date: 10/11/2019, Seller: , Client: reyes fox and martinez morgan ltd 8258 lang trail apt: 792 316 alexander run apt: 930 port jasonhaven nj 07777 south danabury wv 35900",N/A,net worth vat gross worth puma rs dreamer super 200 each 12500 25000 10 27500 mario 64 nintendo little kids us 2.5 2 kid shoes 400 each 5000 20000 10 22000 3 newborn infant baby girl boy 500 each 2269 11345 10 12480 kid winter warm coat knit outwear hooded jumpsuit 5 youth boys big kids nike 300 each 8999 26997 10 29697 jordan 6-17-23 basketball white red black 428818 100 5 puma youth universal fg 500 each 1999 9995 10 10994 jr soccer cleats 5 white high risk red black 5y summary vat net worth vat gross worth 10 93337 9334 1 02671 total 93337 9334 1 02671 boys
"Invoice Number: 76628307, Date: 05/05/2019, Seller: , Client: smith-torres medina moss and martin 911 mckenzie ports apt: 946 88048 tonya streets apt: 993 jeffborough ak 82486 pattersonhaven mi 03007",N/A,net worth vat gross worth 1. original nintendo gaming 300 each 47500 1 42500 10 1 56750 console with robot 9 games extras 2 gamecube nintendo orange 200 each 15188 30376 10 33414 console controller2 soft77 av power cable memory card 3 new nintendo 2ds xl console 500 each 12999 64995 10 71495 blackturquoise wl mario kart 7 preinstalled -ja1141 anbernic retro games 500 in 500 each 125 625 10 687 8 bit classic video game console handheld player 5 microsoft xbox one s00gb 1540 500 each 13999 69995 10 76995 black game console tested complete summary vat net worth vat gross worth 10 3 08491 30849 3 39340 total 3 08491 30849 3 39340
"Invoice Number: 92395596, Date: 10/03/2011, Seller: , Client: rodriguez white and hernandez young inc 275 sanders fall suite 646 0386 kane jenniferburgh ia 31174 zacharystad mt 55786",N/A,net worth vat gross worth lularoe nicole dress size 100 each 199 199 10 219 medium 11 summary vat net worth vat gross worth 10 199 020 219 total 199 020 219 alley
"Invoice Number: 61479635, Date: 07/02/2018, Seller: , Client: kelley-thomas green kelly and matthews 19996 diane well 5110 heather ways port jennifer tx 60910 andersontown ri 96931",N/A,net worth vat gross worth 1 executive style 500 each 599 2995 10 3295 summary vat net worth vat gross worth 10 2995 300 3295 total 2995 300 3295
"Invoice Number: 51295021, Date: 01/05/2017, Seller: , Client: sims-olson martinez-english uss bell 12196 barrett plain suite 873 fpo ap 94327 north victorborough ny 32585",N/A,net worth vat gross worth 1. 4x2 black center top table 200 each 3 68800 7 37600 10 8 11360 italian marquetry gemstone art columbas day gift 2 12 marble side coffee table 400 each 25977 1 03908 10 1 14299 top multi stone floral inlay occasional decor w260 summary vat net worth vat gross worth 10 8 41508 84151 9 25659 total 8 41508 84151 9 25659
"Invoice Number: 31293737, Date: 12/15/2020, Seller: , Client: nunez inc alvarez inc 6551 janet gardens 00625 smith mall apt: 604 michaelberg ks 90952 new dustin az 81632",N/A,net worth vat gross worth womens black cocktail dress 300 each 1999 5997 10 6597 size 2 christmas dress grace karin 100 each 999 999 10 1099 sleeveless christmas dress red black size large 3 windsor womens black and pink 100 each 1583 1583 10 1741 bodycon sleeveless dress womens size small lumiere large multicolored 400 each 499 1996 10 2196 orange short dress nwt 5 xhilaration womens l burgandy 400 each 1495 5980 10 6578 boho embroidered festival mini dress new 6 johnny was medium linen wrap 200 each 8999 17998 10 19798 dress dessert rose embroiderd bohemian pre-owned womens nah nah 200 each 1299 2598 10 2858 dress size 8 black sheer formal sexy summary vat net worth vat gross worth 10 37151 3715 40866 total 37151 3715 40866
"Invoice Number: 74184749, Date: 03/07/2015, Seller: , Client: klein and sons liu-perry unit 6028 box 0366 6914 carolyn circle dpo ap 38632 eugenefort va 31831",N/A,net worth vat gross worth stemless wine glass etched 100 each 299 299 10 329 coordinates of myakka river state park very good summary vat net worth vat gross worth 10 299 030 329 total 299 030 329
"Invoice Number: 94166183, Date: 08/24/2019, Seller: , Client: west-hodges simmons inc 898 jennifer trail 17172 thomas spurs suite 214 lisamouth mi 40976 lorichester wv 81274",N/A,net worth vat gross worth 1. matilda jane womans lets go 100 each 1960 1960 10 2156 together black knit dress size m medium nwt summary vat net worth vat gross worth 10 1960 196 2156 total 1960 196 2156
